                           N             E             V      SN      SE      SV
JCUZ 2018.4476         1.541        -0.569       -52.259   5.331   5.919  23.927
JCUZ 2018.4778         1.678         0.396       -69.846   4.700   5.217  21.009
JCUZ 2018.5407         3.938         1.996       -70.078   5.581   6.247  24.905
JCUZ 2018.5791         0.272         3.214       -59.761   5.096   5.720  22.732
JCUZ 2018.7433        -4.781        -8.862        26.703   3.330   3.789  14.832
JCUZ 2018.8090        -6.257       -10.525        34.717   3.337   3.785  14.933
JCUZ 2018.9706        -4.188        -7.637        36.410   3.212   3.474  14.208
JCUZ 2019.1266        -3.473        -5.320        36.788   3.350   3.601  14.706
JCUZ 2019.2663         0.311        -4.022        33.233   2.632   2.861  11.621
JCUZ 2019.4031        -0.320        -2.381        28.112   2.583   2.830  11.540
JCUZ 2019.5346        -1.116        -4.142        34.160   2.804   3.095  12.530
JCUZ 2019.6359        -1.503         0.698        33.334   2.861   3.166  12.789
JCUZ 2019.7509       -10.204        -1.807        54.278   3.040   3.352  13.761
JCUZ 2019.8302        -0.733        -3.094        39.953   2.790   3.054  12.645
JCUZ 2020.0383        -3.822        -5.891        35.251   1.885   2.043   8.368
JFWS 2007.4086        -2.582        -3.557        -1.467   1.306   1.030   4.365
JFWS 2011.3895        -0.106         0.297         9.083   1.127   0.923   3.977
JFWS 2015.9808         1.560         0.426        -5.389   1.025   0.839   3.644
JFWS 2018.3381         0.610         0.867        -5.661   0.968   0.778   3.407
JFWS 2020.3395         1.775         1.999       -10.981   2.493   2.011   9.032
JIME 2018.4257         2.178        -2.900         9.386   1.837   1.352   5.553
JIME 2019.0253         2.338        -0.734        -7.651   1.763   1.298   5.300
JLN5 2016.3012        -2.300         2.512       -91.869   1.241   1.022   4.062
JMBI 2005.8042         6.565         8.173        -2.855   1.692   2.115   7.451
JMBI 2006.6997         6.291         7.557         2.056   1.814   2.230   8.050
JMBI 2007.1841         1.860         4.774        -1.310   2.070   2.525   9.265
JMBI 2007.6988       -56.931       -70.278         4.872   3.002   3.872  13.343
JMBI 2007.8412        -6.731        -9.979        -2.655   3.141   4.115  13.993
JMBI 2008.1944        -8.900       -10.873         1.758   1.954   2.566   8.905
JMBI 2009.5551        -3.044        -7.564        -2.741   1.828   2.301   8.553
JMBI 2012.5941         3.944         4.333        -0.682   1.508   1.832   6.972
JME2 2016.5298        -6.094        -5.380        -1.381   1.472   1.633   6.552
JNHG 2019.5099        11.679         0.677         1.794   1.101   0.903   3.599
JNPR 1998.8008        -2.640         4.217         8.540   1.617   1.344   5.901
JNPR 2000.7639        -2.551         4.689         9.179   1.584   1.286   5.787
JNPR 2002.7515         2.627         1.863        14.740   1.620   1.320   5.870
JNPR 2005.0732        -1.721        -1.337        -7.352   1.679   1.376   6.063
JOG2 2013.1691         8.131       -16.336         0.478   1.786   2.312   9.480
JOG2 2017.6319        -5.671         3.607         3.728   1.263   1.527   5.801
JOHN 1999.8096        -7.104        -1.608         5.207   1.498   1.242   5.323
JOHN 2002.7296         0.299         3.006         7.138   1.049   0.872   3.732
JOHN 2004.3751        -0.566        -2.830        -6.708   1.420   1.199   5.074
JOHN 2004.9528        -0.314        -1.598        -5.333   1.429   1.202   5.096
JOHN 2010.2423        -3.092        -0.655        -2.808   1.214   1.000   4.286
JOKA 2008.0684        -8.980        -1.288       -14.852   1.779   1.977   7.429
JOKA 2008.4107        -8.017        -0.871        -9.803   1.535   1.715   6.278
JOKA 2009.0294       -12.196        -0.797       -18.103   1.362   1.505   5.538
JOKA 2009.5606        -7.626         1.104       -13.397   1.444   1.564   5.859
JOKA 2010.0945       -12.464         0.439       -11.962   1.401   1.511   5.764
JOKA 2010.7023        -4.575         3.506        -9.199   1.403   1.554   5.871
JOKA 2011.1869       -12.517        -1.120        -9.328   1.947   2.190   8.116
JOKA 2011.3730        -4.638        -1.106       -10.643   1.976   2.210   8.165
JOKA 2012.0712        -9.110        -0.552       -12.710   1.387   1.517   5.681
JOKA 2014.6530        -6.967         4.393        -0.548   1.212   1.304   5.012
JOKA 2016.2574         4.187        -0.017         6.770   1.137   1.205   4.740
JOKA 2018.3326        62.475       -70.343      -180.544   8.247   8.352  35.706
JOKA 2018.3409      -451.508       124.409      -190.492  11.298  11.514  49.143
JOKA 2018.3491       -32.012         7.982       -44.363   8.974   9.226  39.298
JOKA 2018.3737       -27.355        -3.054       -34.735   5.355   5.543  23.663
JOKA 2018.4339       -27.640        -2.282       -40.010   4.563   4.775  20.334
JOKA 2018.4750       -19.101        -2.985       -24.284   5.304   5.592  23.765
JOKA 2018.5077       -17.734        -4.153       -27.406   5.622   5.987  25.271
JOKA 2018.5765       -16.235        -6.369       -25.753   4.393   4.709  19.691
JOKA 2018.7324        22.893       -13.247        41.669   3.493   3.749  15.644
JOKA 2018.7899        23.151        -6.817        37.882   3.465   3.706  15.560
JOKA 2018.9569        15.500         2.352        31.652   2.478   2.593  10.923
JOKA 2019.2142        13.256         3.866        17.317   2.729   2.816  11.895
JOKA 2019.3456        10.638         6.355        11.397   2.649   2.765  11.661
JOKA 2019.5948         8.377        16.605         6.051   2.084   2.228   9.294
JOKA 2019.9480         3.978        15.158        -1.413   2.547   2.657  11.280
JOKA 2020.0794         7.822         7.089         9.004   2.785   2.875  12.226
JOKA 2020.2929        25.924       -19.746        38.103   2.637   2.746  11.523
JOZ2 2008.2081         3.708        -4.382        18.882   0.863   0.629   2.515
JOZ2 2019.2226        -3.282         4.965        -4.045   0.922   0.661   2.652
JOZE 1994.9760         4.053        -3.854       -60.318   7.551   5.036  24.170
JOZE 1995.0144        -1.841         6.258        52.647  12.119   8.204  39.173
JOZE 1995.0390         1.054        10.427        85.550  12.492   8.506  40.697
JOZE 1995.0803        -1.975       -12.078       -87.055   8.075   5.471  26.358
JOZE 1997.8453         0.311         2.566         3.554   1.095   0.751   3.448
JOZE 2010.9185        -1.902        -0.353        -5.769   0.943   0.659   3.013
JOZE 2018.4422        -0.585        -0.967       -10.387   2.940   1.897   9.338
JOZE 2018.6311       -32.285       -86.062        32.869  37.130  27.000 131.152
JOZE 2018.6338       -18.131       -70.272        21.287  40.870  29.653 143.796
JOZE 2018.6448        32.263       108.652       -43.395  38.097  29.980 126.878
JOZE 2018.6475        17.496        48.339        -6.845  34.146  27.412 112.660
JOZE 2018.8174        -9.929         3.226        18.415   4.710   3.179  14.973
JOZE 2018.9350         5.951        -4.347       -25.371   2.819   1.980   8.510
JPLM 1992.7994     -1605.073       465.327       178.331  34.223  30.129 123.332
JPLM 1992.8022      1612.186      -466.347      -172.420  34.283  30.191 123.594
JPLM 1992.9637        -3.210         5.930        41.299   4.800   4.211  19.046
JPLM 1993.0732        -0.907        -5.818       -45.149   3.423   2.990  13.684
JPLM 1994.1246        -9.299        12.494        -6.214   1.125   0.998   4.365
JPLM 2000.2519         3.437        -3.650         3.162   0.874   0.797   3.551
JPLM 2002.8884         6.490         2.209         9.237   1.073   0.994   4.442
JPLM 2004.3669         0.977        -3.956        -2.199   1.018   0.941   4.163
JPLM 2012.4381        -3.328         0.538         7.760   0.905   0.798   3.541
JPLM 2019.5072         7.553         1.121        -3.992   0.919   0.798   3.370
JRO1 1998.7707         1.248         4.349        -3.956   1.412   1.061   4.291
JRO1 1999.5099         0.241        -2.958         6.783   1.245   0.934   3.744
JRO1 2004.3669        -1.171        -4.629        -0.836   1.528   1.104   4.399
JRO1 2004.7639        -9.039         3.299        -9.561   2.553   1.880   7.424
JRO1 2004.9309        -3.961        -1.416        -0.926   2.585   1.903   7.506
JRO1 2005.2895        -5.439         3.788        -6.376   1.841   1.317   5.224
JRO1 2005.9603        -4.602        -1.136        -4.690   1.278   0.906   3.643
JRO1 2008.6819         7.081         3.065         3.889   1.396   1.015   4.489
JRO1 2009.4976        -0.322        -4.358         0.757   1.434   1.041   4.622
JRO1 2012.0111        -3.623         0.145         1.815   1.018   0.729   3.049
JRO1 2017.8289         1.491        -0.260        -5.105   0.925   0.678   2.726
JRSC 2016.8871         0.121         0.325        -5.985   1.044   0.849   3.364
JSLM 2006.2177        -3.035        -0.447         3.599   0.720   0.685   3.098
JTNT 2002.7296        -0.285         2.285         4.991   1.245   1.174   4.656
JTNT 2004.4736        -1.084        -3.120        -6.229   1.334   1.244   4.978
KABR 2000.3669        -3.920        -2.649         5.356   1.022   0.933   4.001
KABR 2001.9902         2.348        -0.652         0.538   1.005   0.896   4.003
KABR 2005.2758        -0.529         0.045         4.830   0.886   0.804   3.703
KABR 2009.6071        -0.085        -1.136         9.871   0.938   0.867   3.872
KABR 2016.4846        -0.294         1.595         7.276   0.835   0.755   3.313
KAGZ 2011.5291         0.066         0.706         5.893   1.156   0.949   6.000
KAGZ 2014.2615         1.017        -0.199        -4.800   0.975   0.801   5.065
KAGZ 2017.3306        -0.270        -0.113        -8.754   0.973   0.812   5.051
KAIK 2004.9829         2.503         4.474         1.161   1.581   1.245   4.581
KAIK 2011.0226         3.853         2.142         3.703   0.930   0.731   2.820
KAIK 2013.6454        -2.586        -0.626        -2.612   0.816   0.646   2.479
KAIK 2016.8679       285.678       869.003       708.859   4.744   3.709  14.511
KAIK 2016.8980       -10.242        41.558         3.196   5.414   4.230  16.551
KAIK 2016.9801        -3.410        20.953         6.145   3.694   2.878  11.202
KAIK 2017.0760        -1.003        13.323         9.353   3.594   2.795  10.813
KAIK 2017.1718        -2.561        11.053         0.734   3.701   2.886  11.090
KAIK 2017.3527        -2.422        19.331         8.379   5.113   3.969  15.212
KAIK 2017.7223        -4.012        21.587         7.190   5.557   4.314  16.663
KAIK 2018.4940        -5.307        23.245         8.862   4.866   3.780  14.769
KAIK 2019.0445        -5.304        13.462         2.902   3.593   2.783  10.876
KAIK 2019.8467        -2.917         8.567         7.058   1.554   1.206   4.709
KAN1 2002.5216        -9.817        -3.019         1.157   2.256   1.877   7.702
KAN1 2002.8145         6.935        -0.789        -0.095   2.224   1.862   7.601
KAN1 2004.7420         3.874        -2.234       -10.612   1.410   1.137   4.760
KAPT 2005.0048         4.091         7.043        -3.152   1.682   1.336   5.024
KAPT 2007.9315        -0.489         5.759         8.752   2.071   1.656   6.372
KAPT 2008.1040         0.674         8.081         4.870   2.531   2.046   7.844
KAPT 2008.3641         5.615         8.551        10.449   1.713   1.407   5.365
KAPT 2012.3231        -2.542        -1.601        -5.732   1.107   0.890   3.441
KAPT 2013.2266        -0.054        10.345        12.687   1.656   1.336   5.200
KAPT 2013.5387        10.163        11.363         5.575   1.990   1.597   6.184
KAPT 2013.8973         7.675        12.112         2.475   1.966   1.591   6.125
KAPT 2014.2204         5.468         7.909         3.379   1.915   1.568   6.052
KAPT 2014.6229         3.875         5.297        -2.516   1.412   1.153   4.454
KAPT 2016.8706        53.257        17.879       -12.826   1.883   1.536   6.040
KAPT 2017.0705         7.532        10.466        10.594   2.646   2.154   8.464
KAPT 2017.3607        11.455        16.315        14.920   3.125   2.546  10.010
KAPT 2018.4940        10.923         3.595        32.231   2.634   2.143   8.460
KAPT 2020.1396        -0.014         1.780       -27.246   2.340   1.866   7.459
KARA 2000.0986        -0.513        -1.288      -127.309  10.092   7.708  31.503
KARA 2004.9801         5.133         6.101         4.538   1.090   0.845   3.352
KARA 2009.6810        -2.293        -5.736         2.626   0.928   0.715   2.794
KARA 2011.5756        -2.043        -2.224        -2.273   0.888   0.680   2.675
KARA 2016.1700         6.531        -3.295       113.842   1.115   0.850   3.320
KARA 2016.8925        -4.114         7.752         0.841   1.135   0.862   3.365
KARA 2018.6639        -2.427         5.325      -119.285   0.915   0.694   2.720
KARL 1998.7105         0.055         0.549        -5.104   1.071   0.762   3.072
KARL 2001.3580        -0.041        -2.665        39.440   1.117   0.806   3.356
KARL 2002.5051        -0.097         2.633        -3.154   1.106   0.804   3.354
KARL 2012.9172        -0.738        -0.796        -5.071   0.787   0.587   2.260
KARL 2016.2683         1.815        -0.421        -1.430   0.688   0.508   1.970
KARR 1998.1985        -0.944         2.634        -2.950   0.747   0.834   3.302
KARR 2002.0233        -2.075         0.051        10.559   0.664   0.697   2.745
KARR 2012.7858         2.583        -1.907        -0.514   0.625   0.672   2.536
KARR 2015.7837         0.280        -0.443         4.541   0.570   0.602   2.306
KAT1 2011.0582        -1.435        -0.826        -8.157   0.912   1.012   3.946
KAT1 2012.4764         1.470        -0.464         5.585   0.832   0.928   3.603
KAT1 2018.6612         1.750         1.992         5.949   0.768   0.878   3.312
KATO 2005.3829        -0.828         2.519         2.776   1.101   0.802   3.140
KATO 2007.9370         2.840         2.387        -0.743   0.818   0.601   2.327
KATO 2011.1841         0.557         0.895         8.191   0.884   0.653   2.518
