                           N             E             V      SN      SE      SV
AC26 2019.0281         2.838        -1.283         2.573   1.420   0.998   4.092
AC27 2006.1383        -5.490         3.736        -1.943   1.110   0.790   3.251
AC27 2009.4319        -4.210        -0.033         2.762   1.004   0.715   2.924
AC27 2012.9993         8.305       -19.521        18.652   5.006   3.623  14.595
AC27 2013.0267       -10.959        15.685       -22.272   5.072   3.669  14.777
AC27 2013.7522         2.626        -0.378         6.651   1.201   0.854   3.439
AC27 2018.0616         8.246        -9.701        -0.311   1.224   0.863   3.607
AC27 2018.7378         3.828        -1.672         5.437   1.219   0.864   3.599
AC28 2017.9712         3.365        -0.995         0.096   0.933   0.654   2.635
AC32 2011.1211        -5.766         2.809        -2.655   0.947   0.662   2.747
AC32 2013.0322        27.937        -7.811        17.129   2.200   1.562   6.328
AC32 2013.1964       -25.078         9.969       -15.286   2.231   1.581   6.420
AC32 2018.9541        -0.461        23.994       -19.941   1.076   0.742   3.169
AC33 2007.9206      -100.903       -13.194       127.132   4.277   2.693  14.386
AC33 2008.0192       -34.351        -5.136        67.748   5.469   3.198  18.580
AC33 2008.1369      -154.707       -50.303       168.757   9.356   5.844  29.110
AC33 2008.1780      -175.684       -41.311       172.694  10.296   6.473  31.295
AC33 2008.3121        13.209        36.767       -12.096  11.339   6.809  32.873
AC33 2008.4682       307.284        37.185      -372.349  16.811  10.334  64.796
AC33 2008.6025       145.376        36.190      -156.488  13.722   8.548  58.516
AC33 2011.0363      -174.703       -11.731       258.117   2.711   1.524   8.444
AC33 2011.3977       174.055        18.249      -261.581   2.864   1.661   8.865
AC33 2011.9644       -38.038        -6.493        41.716   3.708   2.329  12.427
AC33 2012.0548      -233.006       -53.015       271.704   5.072   2.915  16.193
AC33 2012.2957        43.810         1.097       -38.732   7.057   4.547  24.756
AC33 2012.3970       124.035        31.749      -135.599  12.974   7.452  46.542
AC33 2012.4216        99.419        29.814      -143.594  11.532   6.254  41.031
AC33 2014.1081       -47.085         0.478        86.204   2.614   1.623   8.652
AC33 2014.3545        52.676         3.370       -89.173   2.551   1.577   8.463
AC34 2007.9808         3.533        -1.330        -3.024   1.016   0.723   2.886
AC34 2009.4565        -5.633         0.864         2.862   1.024   0.730   2.911
AC34 2016.0849         5.134         2.648        -2.164   1.001   0.704   2.850
AC34 2017.7769        -3.298         2.312         4.445   1.664   1.169   4.714
AC34 2018.0643        18.379       -34.055        -4.999   1.718   1.212   4.861
AC34 2019.0664         4.719        -4.348         1.953   1.072   0.762   3.046
AC35 2008.0767         2.201         0.596       -10.496   1.342   0.945   3.812
AC35 2010.3107        -3.126         5.560         4.774   1.813   1.262   5.120
AC35 2010.6229        -4.267         5.797         6.889   1.986   1.392   5.589
AC35 2011.4086        -6.564         3.565         3.166   1.624   1.156   4.585
AC35 2012.0602         1.109         1.257        -5.272   1.389   0.988   3.939
AC35 2013.0240         4.727        -0.793        -4.180   1.240   0.876   3.510
AC35 2015.3020         4.170        -0.947        -7.814   1.416   0.987   4.022
AC35 2016.0657        -0.227         9.324         0.627   1.602   1.101   4.547
AC35 2016.5448        -3.836         4.927         6.726   2.163   1.498   6.260
AC35 2016.8297       -11.981         5.667        15.578   2.067   1.439   6.017
AC36 2009.2651        -6.865        -0.505         2.954   1.398   0.993   4.237
AC36 2012.7529         5.500        -0.618        -1.178   1.323   0.943   3.931
AC36 2013.6290         3.970        -2.491         4.469   1.337   0.950   3.960
AC36 2014.5845         2.861        -2.555         4.810   1.240   0.881   3.693
AC36 2016.8706        -1.804         0.077        -6.348   1.163   0.818   3.500
AC36 2018.9158        11.600         4.418        -1.436   1.180   0.844   3.566
AC36 2019.9726         4.518        -0.418         2.302   1.508   1.076   4.525
AC37 2009.6754        -3.716         6.909         2.445   1.301   0.917   3.746
AC37 2018.7378         2.189        -3.251         4.321   0.958   0.670   2.808
AC37 2020.0409         3.863         1.362        -1.064   1.455   1.019   4.260
AC38 2006.1602        -3.094         3.206         3.673   1.483   1.037   4.966
AC38 2009.5195        -5.011         1.760         3.749   1.423   0.997   4.755
AC38 2013.4346        -0.780        -2.540         0.930   1.371   0.967   4.566
AC38 2015.9836         4.055        -1.483        -4.014   1.227   0.855   4.116
AC38 2018.0643        15.989       -27.810        -1.567   1.300   0.900   4.376
AC38 2019.4114         4.559        -4.344         1.571   1.372   0.954   4.639
AC39 2007.9890         0.920         2.663         1.265   1.096   0.780   3.113
AC39 2015.0664         2.289         0.577        -3.557   0.962   0.684   2.721
AC39 2018.0643        10.031       -16.032        -1.725   0.996   0.703   2.863
AC39 2019.0719         4.096        -1.726         2.521   1.228   0.872   3.554
AC39 2019.8987         3.707        -1.444         0.746   1.416   1.006   4.070
