                       N               E               V      SN      SE      SV
TAH1 VEL          34.266         -65.824          -1.576   0.068   0.080   0.309
TAH2 POS   -17.577024587  -149.606197243       99802.865   0.787   0.932   3.587
TAH2 VEL          34.315         -65.736          -1.528   0.081   0.096   0.367
TAKL POS   -36.843594901   174.769895109       40858.549   4.247   3.528  15.473
TAKL VEL          40.115           4.918          -1.135   0.265   0.222   0.967
TAMP POS    22.278320605   -97.864028296       21043.401   0.964   1.032   4.012
TAMP VEL          -3.424          -9.027          -0.924   0.468   0.509   1.919
TASH POS    41.328049731    69.295571081      439688.677   0.697   0.556   2.196
TASH VEL           4.206          27.361           0.422   0.187   0.150   0.601
TATE POS    36.931615204  -116.574276447     1293287.103   2.225   1.835   7.592
TATE VEL          -8.838         -15.578          -0.114   0.182   0.150   0.620
TAUP POS   -38.742710446   176.080995532      427030.014   1.352   1.101   4.440
TAUP VEL          34.758           3.997          -0.848   0.246   0.206   0.813
TBLP POS    35.917411206  -120.360339625      937528.916   0.808   0.699   2.985
TBLP VEL           5.799         -24.673           1.744   0.182   0.154   0.706
TCMS POS    24.797984738   120.987394762       77236.768   0.662   0.680   2.844
TCMS VEL          -9.026          30.582          -0.805   0.113   0.114   0.464
TCUN POS    35.085018891  -103.609122724     1218310.360   2.366   2.027   8.488
TCUN VEL          -5.013         -13.516           1.703   0.194   0.167   0.691
TDOU POS   -23.079907878    30.384009319      630220.304   1.023   1.085   4.303
TDOU VEL          18.205          17.875           0.622   0.304   0.323   1.291
TEHA POS    35.143059402  -118.469796449     1174611.253   0.885   0.743   2.949
TEHA VEL           2.217         -23.391           1.812   0.393   0.329   1.305
TEHN POS    35.697284686    51.334097199     1194569.096   0.979   0.820   3.754
TEHN VEL          19.831          26.443           1.126   0.157   0.127   0.558
TELA POS    32.067998636    34.780900658       58378.983   0.444   0.403   1.673
TELA VEL          20.125          22.902           0.817   0.102   0.091   0.382
TERS POS    53.362740790     5.219393172       56089.998   0.563   0.397   1.559
TERS VEL          15.429          18.354          -0.407   0.178   0.127   0.495
TERU POS    40.350502324    -1.124294616      956160.820   0.465   0.380   1.470
TERU VEL          16.294          19.611          -0.574   0.123   0.101   0.388
TETN POS    35.561646241    -5.363010412       63721.635   0.425   0.359   1.475
TETN VEL          17.124          15.070          -0.564   0.058   0.050   0.212
TEZI POS   -15.746528291    26.015731347     1115263.118   3.035   3.590  12.853
TEZI VEL          19.161          19.587           1.748   0.399   0.472   1.686
TFNO POS    49.154142188  -125.907839732       -3852.147   0.713   0.566   2.379
TFNO VEL          -6.770          -2.465           1.589   0.230   0.184   0.796
TGCV POS    16.754775544   -22.982754057       35184.776   2.369   2.578  10.688
TGCV VEL          16.054          19.192          -1.594   0.184   0.201   0.824
THCP POS    35.158182677  -118.414574515     1652394.148   0.753   0.630   2.456
THCP VEL           2.136         -23.196           0.192   0.093   0.076   0.306
THIO POS   -21.608578313   166.215374075      107010.344   0.711   0.789   3.128
THIO VEL          46.714          20.692          -1.871   0.213   0.236   0.916
THMG POS    33.650639841  -116.077252378       33621.455   0.553   0.470   1.869
THMG VEL           0.498         -21.924          -0.388   0.158   0.133   0.535
THMS POS    33.549638260  -117.766799944      189211.937   0.789   0.733   2.993
THMS VEL          18.084         -38.851          -1.913   0.189   0.172   0.702
THSU POS    29.714007529   -95.339906216      -10295.214   0.622   0.574   2.342
THSU VEL          -1.478         -12.234          -1.275   0.255   0.238   0.963
THTG POS   -17.577057878  -149.606443197       97991.588   0.434   0.489   1.839
THTG VEL          34.355         -65.834          -1.272   0.117   0.132   0.495
THTI POS   -17.577057345  -149.606457924       98016.104   0.405   0.445   1.760
THTI VEL          34.698         -65.347          -1.224   0.078   0.087   0.353
THU1 POS    76.537338001   -68.788026104       55067.474   5.440   4.178  25.459
THU1 VEL           4.817         -22.033           2.290   0.250   0.192   1.172
THU2 POS    76.537048208   -68.825049894       36211.647   0.450   0.354   2.099
THU2 VEL           4.945         -22.732           6.288   0.094   0.073   0.441
THU3 POS    76.537048208   -68.825049897       36210.321   0.650   0.492   3.059
THU3 VEL           4.993         -22.707           6.493   0.159   0.121   0.745
THUN POS    47.105839840  -122.288467213      142603.671   0.668   0.494   1.977
THUN VEL          -7.895          -9.780          -1.241   0.127   0.091   0.371
THUR POS   -72.530065399   -97.559598662      212792.282   0.473   0.353   1.888
THUR VEL           3.369          15.258          -2.600   0.093   0.071   0.369
TIBB POS    37.890876680  -122.447606975      -21098.935   0.467   0.420   1.937
TIBB VEL          13.281         -31.732          -0.994   0.086   0.076   0.366
TID1 POS   -35.399197145   148.980001239      665317.527   0.419   0.352   1.439
TID1 VEL          55.766          18.246          -0.435   0.085   0.070   0.298
TID2 POS   -35.399197147   148.980001235      665329.094   2.483   2.105   9.201
TID2 VEL          55.566          18.171          -0.341   0.192   0.163   0.721
TIDB POS   -35.399197145   148.980001239      665317.025   0.419   0.348   1.456
TIDB VEL          55.220          18.195          -0.372   0.058   0.050   0.216
TIFF POS    41.074979661   -83.150401738      210424.671   0.645   0.513   2.061
TIFF VEL           1.842         -14.986          -2.683   0.152   0.125   0.493
TILC POS    37.618886972  -118.862856867     2165311.524   0.632   0.480   2.170
TILC VEL          -5.969         -18.480           3.823   0.351   0.265   1.207
TILL POS    45.455128999  -123.830768566       -4528.625   2.285   2.088   7.025
TILL VEL          -3.966          -5.392          -0.435   0.167   0.122   0.491
TITZ POS    51.035307782     6.431631283      156181.739   1.323   0.982   3.865
TITZ VEL          15.699          18.728          -0.744   0.213   0.159   0.625
TIVA POS    36.934848199  -116.229708163     2034165.880   0.419   0.345   1.336
TIVA VEL          -9.442         -15.479          -0.421   0.112   0.092   0.369
TIXI POS    71.634472020   128.866427674       47070.766   0.425   0.301   1.643
TIXI VEL         -11.642          16.953           0.643   0.091   0.066   0.346
TIXJ POS    71.634462057   128.866399282       47118.998   6.507   4.336  24.345
TIXJ VEL         -11.184          17.100           3.174   0.669   0.453   2.508
TJRN POS    34.483476311  -120.132568265      157159.401   0.614   0.516   2.139
TJRN VEL          22.269         -41.683           0.270   0.053   0.044   0.186
TLKA POS    62.307651173  -150.420300571      165990.335   2.913   1.964  10.145
TLKA VEL         -25.096         -12.017           1.722   0.358   0.237   1.185
TLSE POS    43.560696950     1.480894082      207178.172   0.466   0.357   1.447
TLSE VEL          16.343          19.485           0.195   0.122   0.093   0.401
TMAP POS    33.641245640  -116.160463928      -66912.858   0.833   0.728   2.948
TMAP VEL           4.047         -24.839           0.485   0.272   0.236   0.965
TMBU POS    43.601839873  -121.144569792     1721162.459   0.747   0.567   2.808
TMBU VEL          -8.058         -13.982           1.379   0.357   0.261   1.375
TMGO POS    40.130934498  -105.232713559     1672984.968   0.784   0.625   2.755
TMGO VEL          -6.146         -14.684          -0.913   0.187   0.151   0.620
TNML POS    24.797953367   120.987349506       75863.314   0.881   0.886   3.556
TNML VEL          -8.980          30.586          -1.083   0.112   0.114   0.457
TOIY POS    39.542171834  -117.049410087     2299053.923   0.431   0.356   1.412
TOIY VEL          -9.527         -16.354           0.061   0.061   0.050   0.200
TONG POS   -21.144713832  -175.179208323       56274.136   0.841   0.928   3.743
TONG VEL          -5.241          89.446           0.071   0.497   0.568   2.398
TONO POS    38.097192907  -117.184043040     2066009.865   2.187   1.758   6.860
TONO VEL          -9.231         -16.158          -0.122   0.072   0.058   0.232
TOR2 POS    58.264744446    26.461591448       96271.918   0.555   0.390   1.614
TOR2 VEL          12.993          20.448           1.004   0.120   0.085   0.345
TORI POS    45.063369683     7.661285131      310746.743   0.456   0.369   1.591
TORI VEL          15.960          20.381           0.635   0.085   0.069   0.302
TORP POS    33.797800086  -118.330608536       -5214.992   0.782   0.674   2.687
TORP VEL          18.138         -38.866          -0.162   0.105   0.089   0.361
TORS POS    62.023298458    -6.764514143      114594.118   6.226   4.349  19.120
TORS VEL          17.716          10.877          -0.604   0.379   0.265   1.166
TOST POS    34.247957765  -118.836669622      274353.210   0.746   0.642   2.614
TOST VEL          18.828         -38.991          -1.187   0.203   0.171   0.702
TOUL POS    43.560775544     1.480763769      207092.041  10.808   7.901  35.359
TOUL VEL          16.746          19.744          -0.204   0.514   0.376   1.677
TOW2 POS   -19.269272390   147.055692264       88095.032   0.361   0.381   1.481
TOW2 VEL          56.244          29.059          -1.060   0.066   0.068   0.273
TPW2 POS    46.207372192  -123.768364589      -14949.372   0.518   0.400   1.606
TPW2 VEL          -4.215          -5.018          -0.384   0.135   0.103   0.420
TRAB POS    40.994709886    39.775566042       99279.481   2.362   1.848   7.635
TRAB VEL          13.649          25.404          -0.146   0.145   0.113   0.467
TRAK POS    33.617937040  -117.803439892      115525.489   0.685   0.630   2.616
TRAK VEL          17.582         -38.231          -0.708   0.122   0.109   0.459
TRCP POS    37.997424828  -122.615860855      217614.718   0.661   0.532   2.108
TRCP VEL          15.043         -32.412          -2.064   0.207   0.165   0.664
TRDS POS    63.371385962    10.319161575      317800.896   0.443   0.302   1.352
TRDS VEL          16.051          14.170           4.323   0.061   0.043   0.189
TREV POS    45.663947634    12.256542204       61334.289   4.487   3.414  14.625
TREV VEL          17.257          20.641          -0.442   0.430   0.328   1.402
TRLK POS    37.466642474  -120.828651411        2515.808   0.706   0.571   2.315
TRLK VEL          -1.964         -22.980          -1.869   0.326   0.264   1.063
TRND POS    41.053886414  -124.150868201       78162.096   0.746   0.582   2.266
TRND VEL           4.014          -9.089          -0.891   0.184   0.143   0.586
TRNG POS   -37.728805167   176.260877964      151107.865   0.973   0.810   3.180
TRNG VEL          38.007           3.280          -0.143   0.144   0.121   0.473
TRO1 POS    69.662720195    18.939652291      138132.053   0.456   0.337   1.634
TRO1 VEL          15.155          14.668           2.870   0.085   0.064   0.301
TROM POS    69.662750734    18.938335542      132503.733   0.976   0.763   3.379
TROM VEL          15.297          14.910           2.606   0.055   0.044   0.188
TROY POS    34.838596183  -116.530547713      613564.370   2.804   2.258   9.583
TROY VEL          -4.481         -18.981           0.385   0.221   0.178   0.755
TSEA POS    61.187324893  -149.894979068       42996.781   1.816   1.296   5.499
TSEA VEL         -14.435         -15.010           4.748   0.484   0.336   1.454
TSEP POS    46.200013285  -122.190678551     2104406.711   3.121   2.364  13.569
TSEP VEL          -3.020          25.661         -39.407   0.792   0.597   3.456
TSK2 POS    36.105574559   140.087127894       69976.584   1.133   0.943   3.911
TSK2 VEL          -7.635           0.146           1.189   0.443   0.360   1.473
TSKB POS    36.105677932   140.087508173       67277.099   1.082   0.884   3.695
TSKB VEL          -7.215          -3.590           1.521   0.195   0.161   0.696
TSTU POS    46.236866186  -122.224067170     1248609.228   0.776   0.557   2.237
TSTU VEL         -10.673         -13.650          -1.444   0.557   0.398   1.633
TSWY POS    43.674088853  -110.597478848     2190717.062   0.503   0.390   1.755
TSWY VEL          -9.023         -15.724          -2.009   0.114   0.087   0.393
TTTA POS   -22.011513068   166.216893131       81641.541   0.692   0.710   2.765
TTTA VEL          46.803          20.082          -2.121   0.207   0.211   0.811
TUBI POS    40.786726602    29.450686998      220321.807   0.579   0.485   2.283
TUBI VEL          11.666          19.570          -0.999   0.068   0.057   0.259
TUC2 POS    35.533188908    24.070560330      160878.586   0.508   0.440   1.729
TUC2 VEL         -11.901           8.081          -1.043   0.161   0.141   0.550
TUCU POS   -26.843253846   -65.230351328      484999.437   2.447   2.563  11.011
TUCU VEL          10.462           2.281          -1.165   0.261   0.259   1.089
